Name,URI,Category,Type
Survival,spotify:show:5JDHqI4nZe36mcOZI05sYI,Documentary,Cooperative-Monolog
Sports Criminals ,spotify:show:4xx4i1EW7563ORnwbNvtL1,Documentary,Cooperative-Monolog
Medical Mysteries ,spotify:show:52qDuV6WDfgnaLdbDmKpUi,Documentary,Cooperative-Monolog
Secret Societies ,spotify:show:7MIIBWDGXvzZthqznedAKR,Documentary,Cooperative-Monolog
Long Lost: An Investigative History Series,spotify:show:3KclI3Og3SSgDvVtoPzrbP,Documentary,Cooperative-Monolog
Kingpins,spotify:show:3IZ9inzkM6YjDv1lEuCcig,Documentary,Cooperative-Monolog
History Under Your Feet,spotify:show:5i0JMXCgw8fNTPYC4NDJmC,Documentary,Monolog
Historical Figures,spotify:show:3iFwYwzabLKsSktBhUVCjn,Documentary,Cooperative-Monolog
Pwns Media,spotify:show:3CErBBzx4XukMM3RVEOfCB,Opinion/Discussion,Dialog
One Nil Football Podcast,spotify:show:1FzG6Bewrnr6GhysVT8aRf,Opinion/Discussion,Dialog
Mr. America,spotify:show:2BXDsjwgbf9iTBCkeBAySP,Opinion/Discussion,Monolog
Jemele Hill is Unbothered,spotify:show:1SXD1U55jqbK9HHoPvdbsw,Opinion/Discussion,Dialog
I Believe USMNT Podcast,spotify:show:3PDoqSQhVS6k3qM9cpMtg1,News,Dialog
Flip the Switch,spotify:show:4VwR1QnXnEmwfofhXx8PFY,Opinion/Discussion,Dialog
Fan Wonderland,spotify:show:7hJqJL39OIsIZsEnoIxOsM,Opinion/Discussion,Dialog
Ethan and Mike's Sports Show,spotify:show:3yfSSFTurqPGlkqjf94QCx,Opinion/Discussion,Dialog
Crimetown,spotify:show:5C9yXrX999QNS1Q62IlXvc,Documentary,Cooperative-Monolog
crack-a-can,spotify:show:6h233oVvTFWVax3rWIeFRJ,News,Dialog
Conviction,spotify:show:2XquJlPU9ibLYZMH0ZzFwA,Documentary,Cooperative-Monolog
Coast 2 Coast Fantasy Football,spotify:show:7un8U7APSIRbPw5OmBDLBe,Opinion/Discussion,Dialog
Carlos and Marc\u2019s Podcast,spotify:show:1OWxWeLYhsZwQmcagCc9NQ,Opinion/Discussion,Dialog
Bruins Take by CCSN,spotify:show:4ZTSKV0JmGT1liYKF9mX7E,Opinion/Discussion,Monolog
Browns part ways with general manager John Dorsey,spotify:show:5k1d8IGORceIoA8iQI5CCJ,News,Monolog
BirdsoverBoys Podcast,spotify:show:34QTNqJyIU3uGgxVT7hphL,News,Dialog
Behind the Bull,spotify:show:7pDunPM1uYeaaweNU64m2V,Opinion/Discussion,Dialog
Autonomous Cars with Marc Hoag,spotify:show:7yPBxLJUkqWguIFTzhstZU,News,Monolog
AllDatNoise Podcast,spotify:show:5iyRtS7DW3MKIOUkd4BG38,Opinion/Discussion,Dialog
AI Ireland Podcast,spotify:show:0BSnufcpLFsqIepZmJN0Pp,Documentary,Dialog
3Bawls Basketball Podcast,spotify:show:6Eiqut8Ar4k9vy9qeGq5qE,Opinion/Discussion,Dialog
22 Yarns with Gaurav Kapur,spotify:show:43mTFxSHXF7Xtvjx4TF0Dc,Opinion/Discussion,Dialog
#5 Things,spotify:show:6oXVXJViYbHbJz5rJz7Mel,Opinion/Discussion,Dialog
Without A Country,spotify:show:25op0P0LRoUyYQD5kVwaPp,Opinion/Discussion,Dialog
What's Trending?,spotify:show:0lBpq1qzcr8kKrtXm3HcC0,Opinion/Discussion,Dialog
Waterloo Warriors Armchair Quarterback,spotify:show:77nHX2A2eKjByYrxewXHT9,News,Dialog
Tyrone Eagle Eye News Podcasts,spotify:show:0KXrf1dWq8qdNLiNiuP5se,News,Dialog
TwinTalkYanks,spotify:show:7qAt6if5XDSv6JUnu4vVLL,News,Dialog
The Whole 9 Yards,spotify:show:3lE2wmcsPKloWaSflHmGLE,Opinion/Discussion,Dialog
The Nerd^2 Pod,spotify:show:3Foge1Ej1P8Az4gVuFVeaF,Opinion/Discussion,Dialog
The Michael Decon Program,spotify:show:1faGhT2N78uzUOJ8rZFWZA,News,Dialog
Technology Labs,spotify:show:1G02YyxN5Dfs8wLI8nBisH,News,Dialog
Podkarsh with H,spotify:show:1EnEkn6oJg3oJ5pnk17lPt,Opinion/Discussion,Dialog
For The Culture,spotify:show:4Evhiidp93yh0M2EVTb9Cu,News,Dialog
Run The Fade,spotify:show:0Pv0jr5aShbKPMZ2WSbO4i,Opinion/Discussion,Dialog
The Mister(ess) of Pop Culture \ud83d\udda4,spotify:show:4G3q8B3St2GB9pM365Oi9N,Opinion/Discussion,Monolog
The Cut on Tuesdays,spotify:show:6I73b0kVHO6bg3FOmFUpdA,Opinion/Discussion,Dialog
Political Scandals,spotify:show:2KBfl8eidzorW02RzQf9K8,Documentary,Cooperative-Monolog
The Hand-off,spotify:show:2JhYNIGrmMe01U3arvQU8x,Opinion/Discussion,Dialog
Red Tail Talk Show,spotify:show:3i0vRZjhnNc34GIuQoX4nU,News,Dialog
Just Talk'n Sports,spotify:show:3qeHaFWk5tvr8heJPNR6WF,News,Dialog
Up-to-the-minute NBA news.,spotify:show:4PXBfGcWO82UhsSgcnZjKH,News,Monolog
Let's Talk Sport,spotify:show:2N1CFSKiiMo23F8qZ80eRN,News,Dialog
Weakly Update,spotify:show:6WCGCMNj82qaVQjMMTU2iK,News,Dialog
Nfl weekly news,spotify:show:4U77aY43YsnO6v0cKNv0my,News,Monolog
Uncivil,spotify:show:3ZFCdzRJWGMhok1x69IHRU,Documentary,Cooperative-Monolog
The Miami Corridor Podcast,spotify:show:2V4ynJLjKQsgV0yQD7Ovz5,News,Monolog
Undone,spotify:show:1DpjNPz2R1uJoBABi8TAMm,Documentary,Cooperative-Monolog
Latest news update.,spotify:show:45krUib4gxBCKUgnx8uqlW,News,Monolog
Usa Today Sports news,spotify:show:6lpHdVAAZHLJUK4ZkpZ9pn,News,Dialog
