document,dm_count_doc,word_count_doc,dm_words_perc,dm_sentences,sentence_count_doc,dm_sentences_perc,dm_count_min,dm_count_max,dm_count_mean,dm_count_median,dm_pos_sent_begin,dm_pos_sent_middle,dm_pos_sent_end
AdamGarone.txt/000000018,323.0,2794.0,11.56048675733715,1.0,1.0,100.0,323.0,323.0,323.0,323.0,49.0,228.0,46.0
MenaTrott.txt/000000019,297.0,3136.0,9.470663265306122,1.0,1.0,100.0,297.0,297.0,297.0,297.0,44.0,204.0,49.0
PhilippePetit.txt/000000020,192.0,2228.0,8.617594254937163,1.0,1.0,100.0,192.0,192.0,192.0,192.0,29.0,124.0,39.0
BLACK.txt/000000021,36.0,358.0,10.05586592178771,1.0,1.0,100.0,36.0,36.0,36.0,36.0,6.0,25.0,5.0
EthanZuckerman.txt/000000022,276.0,4030.0,6.84863523573201,1.0,1.0,100.0,276.0,276.0,276.0,276.0,50.0,180.0,46.0
AimeeMullins.txt/000000023,104.0,1205.0,8.630705394190871,1.0,1.0,100.0,104.0,104.0,104.0,104.0,18.0,68.0,18.0
RoryBremner.txt/000000024,158.0,2125.0,7.435294117647059,1.0,1.0,100.0,158.0,158.0,158.0,158.0,21.0,103.0,34.0
AparnaRao.txt/000000025,168.0,1549.0,10.845706907682375,1.0,1.0,100.0,168.0,168.0,168.0,168.0,23.0,117.0,28.0
LucaTurin.txt/000000026,211.0,2637.0,8.001516875237012,1.0,1.0,100.0,211.0,211.0,211.0,211.0,27.0,152.0,32.0
ZakEbrahim.txt/000000027,104.0,1445.0,7.197231833910035,1.0,1.0,100.0,104.0,104.0,104.0,104.0,15.0,69.0,20.0
DanielPauly.txt/000000028,127.0,1181.0,10.753598645215918,1.0,1.0,100.0,127.0,127.0,127.0,127.0,24.0,86.0,17.0
PeterSaul.txt/000000029,191.0,2539.0,7.522646711303663,1.0,1.0,100.0,191.0,191.0,191.0,191.0,30.0,143.0,18.0
JennaMcCarthy.txt/000000030,153.0,1660.0,9.216867469879517,1.0,1.0,100.0,153.0,153.0,153.0,153.0,38.0,89.0,26.0
NadiaLopez.txt/000000031,66.0,793.0,8.32282471626734,1.0,1.0,100.0,66.0,66.0,66.0,66.0,11.0,44.0,11.0
AndersYnnerman.txt/000000032,303.0,3474.0,8.721934369602764,1.0,1.0,100.0,303.0,303.0,303.0,303.0,43.0,207.0,53.0
PatrickChappatte.txt/000000033,115.0,1619.0,7.103150092649784,1.0,1.0,100.0,115.0,115.0,115.0,115.0,17.0,76.0,22.0
LizaDonnelly.txt/000000034,103.0,1020.0,10.098039215686274,1.0,1.0,100.0,103.0,103.0,103.0,103.0,18.0,68.0,17.0
SarahJones.txt/000000035,302.0,3593.0,8.40523239632619,1.0,1.0,100.0,302.0,302.0,302.0,302.0,45.0,197.0,60.0
JuliaSweeney.txt/000000036,82.0,629.0,13.036565977742448,1.0,1.0,100.0,82.0,82.0,82.0,82.0,16.0,55.0,11.0
JenniferPahlka.txt/000000037,195.0,2189.0,8.908177249885792,1.0,1.0,100.0,195.0,195.0,195.0,195.0,36.0,136.0,23.0
NiloferMerchant.txt/000000038,52.0,581.0,8.950086058519794,1.0,1.0,100.0,52.0,52.0,52.0,52.0,6.0,35.0,11.0
KennethLacovara.txt/000000039,191.0,2443.0,7.818256242325011,1.0,1.0,100.0,191.0,191.0,191.0,191.0,19.0,144.0,28.0
DevduttPattanaik.txt/000000040,214.0,2433.0,8.795725441841348,1.0,1.0,100.0,214.0,214.0,214.0,214.0,24.0,151.0,39.0
BillClinton.txt/000000041,307.0,3572.0,8.594624860022396,1.0,1.0,100.0,307.0,307.0,307.0,307.0,43.0,198.0,66.0
TaiyeSelasi.txt/000000042,161.0,2265.0,7.108167770419426,1.0,1.0,100.0,161.0,161.0,161.0,161.0,23.0,117.0,21.0
JamaisCascio.txt/000000043,186.0,2608.0,7.131901840490798,1.0,1.0,100.0,186.0,186.0,186.0,186.0,30.0,126.0,30.0
IanRitchie.txt/000000044,110.0,1099.0,10.009099181073703,1.0,1.0,100.0,110.0,110.0,110.0,110.0,19.0,73.0,18.0
DebRoy.txt/000000045,266.0,2909.0,9.144035751117222,1.0,1.0,100.0,266.0,266.0,266.0,266.0,44.0,172.0,50.0
GeorgetteMulheir.txt/000000046,162.0,1710.0,9.473684210526315,1.0,1.0,100.0,162.0,162.0,162.0,162.0,27.0,119.0,16.0
AliceBowsLarkin.txt/000000047,233.0,2351.0,9.910676307954063,1.0,1.0,100.0,233.0,233.0,233.0,233.0,37.0,167.0,29.0
PaulKnoepfler.txt/000000048,302.0,3017.0,10.009943652635068,1.0,1.0,100.0,302.0,302.0,302.0,302.0,51.0,201.0,50.0
SanfordBiggers.txt/000000049,71.0,645.0,11.007751937984496,1.0,1.0,100.0,71.0,71.0,71.0,71.0,13.0,47.0,11.0
AshBeckham.txt/000000050,233.0,2311.0,10.08221549112938,1.0,1.0,100.0,233.0,233.0,233.0,233.0,36.0,155.0,42.0
ChipConley.txt/000000051,226.0,3054.0,7.400130975769483,1.0,1.0,100.0,226.0,226.0,226.0,226.0,41.0,158.0,27.0
PeteAlcorn.txt/000000052,39.0,492.0,7.926829268292683,1.0,1.0,100.0,39.0,39.0,39.0,39.0,5.0,27.0,7.0
DanPhillips.txt/000000053,268.0,3030.0,8.844884488448844,1.0,1.0,100.0,268.0,268.0,268.0,268.0,42.0,177.0,49.0
AdamDavidson.txt/000000054,272.0,3228.0,8.426270136307311,1.0,1.0,100.0,272.0,272.0,272.0,272.0,38.0,197.0,37.0
KathyHull.txt/000000055,152.0,2133.0,7.1261134552273795,1.0,1.0,100.0,152.0,152.0,152.0,152.0,20.0,112.0,20.0
LisaNip.txt/000000056,180.0,1930.0,9.32642487046632,1.0,1.0,100.0,180.0,180.0,180.0,180.0,31.0,118.0,31.0
SiyandaMohutsiwa.txt/000000057,176.0,1962.0,8.970438328236494,1.0,1.0,100.0,176.0,176.0,176.0,176.0,34.0,117.0,25.0
ShubhenduSharma.txt/000000058,106.0,1296.0,8.179012345679013,1.0,1.0,100.0,106.0,106.0,106.0,106.0,19.0,70.0,17.0
CalebBarlow.txt/000000059,140.0,1953.0,7.168458781362007,1.0,1.0,100.0,140.0,140.0,140.0,140.0,21.0,93.0,26.0
KiranBedi.txt/000000060,121.0,1634.0,7.405140758873929,1.0,1.0,100.0,121.0,121.0,121.0,121.0,22.0,87.0,12.0
DeepikaKurup.txt/000000061,88.0,1070.0,8.22429906542056,1.0,1.0,100.0,88.0,88.0,88.0,88.0,12.0,64.0,12.0
RebeccaMacKinnon.txt/000000062,168.0,2035.0,8.255528255528256,1.0,1.0,100.0,168.0,168.0,168.0,168.0,26.0,114.0,28.0
RichardSears.txt/000000063,100.0,1260.0,7.936507936507937,1.0,1.0,100.0,100.0,100.0,100.0,100.0,20.0,63.0,17.0
StevenPetranek.txt/000000064,313.0,4791.0,6.533082863702776,1.0,1.0,100.0,313.0,313.0,313.0,313.0,54.0,209.0,50.0
StefonHarris.txt/000000065,76.0,917.0,8.287895310796074,1.0,1.0,100.0,76.0,76.0,76.0,76.0,10.0,54.0,12.0
AntonioDamasio.txt/000000066,252.0,2916.0,8.641975308641975,1.0,1.0,100.0,252.0,252.0,252.0,252.0,38.0,183.0,31.0
YoavMedan.txt/000000067,185.0,2144.0,8.628731343283581,1.0,1.0,100.0,185.0,185.0,185.0,185.0,26.0,121.0,38.0
BillStone.txt/000000068,197.0,2752.0,7.15843023255814,1.0,1.0,100.0,197.0,197.0,197.0,197.0,48.0,122.0,27.0
MagnusLarsson.txt/000000069,133.0,1779.0,7.4761101742552,1.0,1.0,100.0,133.0,133.0,133.0,133.0,18.0,97.0,18.0
ConradWolfram.txt/000000070,247.0,3072.0,8.040364583333334,1.0,1.0,100.0,247.0,247.0,247.0,247.0,34.0,176.0,37.0
ChrisGerdes.txt/000000071,140.0,1867.0,7.4986609534011786,1.0,1.0,100.0,140.0,140.0,140.0,140.0,19.0,100.0,21.0
EythorBender.txt/000000072,63.0,630.0,10.0,1.0,1.0,100.0,63.0,63.0,63.0,63.0,11.0,39.0,13.0
WilliamNoel.txt/000000073,245.0,2616.0,9.365443425076453,1.0,1.0,100.0,245.0,245.0,245.0,245.0,41.0,175.0,29.0
MeronGribetz.txt/000000074,154.0,1844.0,8.351409978308027,1.0,1.0,100.0,154.0,154.0,154.0,154.0,24.0,110.0,20.0
NathalieCabrol.txt/000000075,243.0,2598.0,9.353348729792147,1.0,1.0,100.0,243.0,243.0,243.0,243.0,41.0,164.0,38.0
MatthewChilds.txt/000000076,41.0,715.0,5.734265734265734,1.0,1.0,100.0,41.0,41.0,41.0,41.0,7.0,29.0,5.0
ChimamandaNgoziAdichie.txt/000000077,417.0,4668.0,8.933161953727506,1.0,1.0,100.0,417.0,417.0,417.0,417.0,63.0,292.0,62.0
JohnWooden.txt/000000078,295.0,3329.0,8.86151997596876,1.0,1.0,100.0,295.0,295.0,295.0,295.0,50.0,191.0,54.0
NeginFarsad.txt/000000079,103.0,1319.0,7.808946171341925,1.0,1.0,100.0,103.0,103.0,103.0,103.0,18.0,60.0,25.0
PeterNorvig.txt/000000080,81.0,944.0,8.580508474576272,1.0,1.0,100.0,81.0,81.0,81.0,81.0,14.0,57.0,10.0
DavidDow.txt/000000081,246.0,3078.0,7.992202729044834,1.0,1.0,100.0,246.0,246.0,246.0,246.0,50.0,153.0,43.0
HarryCliff.txt/000000082,183.0,2561.0,7.145646231940648,1.0,1.0,100.0,183.0,183.0,183.0,183.0,22.0,134.0,27.0
ShivaniSiroya.txt/000000083,111.0,1298.0,8.551617873651772,1.0,1.0,100.0,111.0,111.0,111.0,111.0,21.0,75.0,15.0
JimSimons.txt/000000084,270.0,3118.0,8.659397049390636,1.0,1.0,100.0,270.0,270.0,270.0,270.0,53.0,176.0,41.0
NuclearDebate.txt/000000085,293.0,3673.0,7.977130411108086,1.0,1.0,100.0,293.0,293.0,293.0,293.0,49.0,210.0,34.0
DiebedoFrancisKere.txt/000000086,128.0,1396.0,9.169054441260744,1.0,1.0,100.0,128.0,128.0,128.0,128.0,20.0,96.0,12.0
LinusTorvalds.txt/000000087,291.0,3403.0,8.551278283867177,1.0,1.0,100.0,291.0,291.0,291.0,291.0,41.0,205.0,45.0
EdGavagan.txt/000000088,198.0,1831.0,10.81376297105407,1.0,1.0,100.0,198.0,198.0,198.0,198.0,31.0,135.0,32.0
CarloRatti.txt/000000089,233.0,2389.0,9.753034742570113,1.0,1.0,100.0,233.0,233.0,233.0,233.0,33.0,170.0,30.0
KarenBass.txt/000000090,81.0,946.0,8.562367864693446,1.0,1.0,100.0,81.0,81.0,81.0,81.0,15.0,56.0,10.0
DavidLang.txt/000000091,65.0,779.0,8.34403080872914,1.0,1.0,100.0,65.0,65.0,65.0,65.0,11.0,48.0,6.0
DaveTroy.txt/000000092,93.0,1084.0,8.579335793357934,1.0,1.0,100.0,93.0,93.0,93.0,93.0,11.0,68.0,14.0
GoogleScienceFairWinners.txt/000000093,267.0,2783.0,9.59396334890406,1.0,1.0,100.0,267.0,267.0,267.0,267.0,43.0,174.0,50.0
StephenPalumbi.txt/000000094,216.0,2811.0,7.68409818569904,1.0,1.0,100.0,216.0,216.0,216.0,216.0,40.0,145.0,31.0
NigelMarsh.txt/000000095,115.0,1437.0,8.002783576896311,1.0,1.0,100.0,115.0,115.0,115.0,115.0,26.0,71.0,18.0
CarolynSteel.txt/000000096,255.0,2754.0,9.25925925925926,1.0,1.0,100.0,255.0,255.0,255.0,255.0,48.0,175.0,32.0
TrevorTimm.txt/000000097,79.0,845.0,9.349112426035504,1.0,1.0,100.0,79.0,79.0,79.0,79.0,9.0,59.0,11.0
IainHutchison.txt/000000098,237.0,2941.0,8.058483509010541,1.0,1.0,100.0,237.0,237.0,237.0,237.0,32.0,167.0,38.0
DeanOrnish.txt/000000099,32.0,445.0,7.191011235955056,1.0,1.0,100.0,32.0,32.0,32.0,32.0,7.0,20.0,5.0
EllenTHoen.txt/000000100,112.0,1330.0,8.421052631578947,1.0,1.0,100.0,112.0,112.0,112.0,112.0,17.0,75.0,20.0
RamananLaxminarayan.txt/000000101,223.0,2543.0,8.76917027133307,1.0,1.0,100.0,223.0,223.0,223.0,223.0,43.0,146.0,34.0
WilliamLi.txt/000000102,273.0,3317.0,8.23032861018993,1.0,1.0,100.0,273.0,273.0,273.0,273.0,41.0,186.0,46.0
LucyKalanithi.txt/000000103,208.0,2060.0,10.097087378640778,1.0,1.0,100.0,208.0,208.0,208.0,208.0,39.0,132.0,37.0
JaninediGiovanni.txt/000000104,165.0,1797.0,9.181969949916528,1.0,1.0,100.0,165.0,165.0,165.0,165.0,23.0,118.0,24.0
CornielleEwango.txt/000000105,244.0,2688.0,9.077380952380953,1.0,1.0,100.0,244.0,244.0,244.0,244.0,40.0,180.0,24.0
MemoryBanda.txt/000000106,110.0,1476.0,7.452574525745257,1.0,1.0,100.0,110.0,110.0,110.0,110.0,23.0,72.0,15.0
MellodyHobson.txt/000000107,199.0,2458.0,8.096013018714402,1.0,1.0,100.0,199.0,199.0,199.0,199.0,34.0,133.0,32.0
NicholasChristakis.txt/000000108,330.0,3337.0,9.889121965837578,1.0,1.0,100.0,330.0,330.0,330.0,330.0,57.0,215.0,58.0
GlennGreenwald.txt/000000109,263.0,3351.0,7.848403461653238,1.0,1.0,100.0,263.0,263.0,263.0,263.0,34.0,185.0,44.0
HannahBrencher.txt/000000110,42.0,508.0,8.26771653543307,1.0,1.0,100.0,42.0,42.0,42.0,42.0,7.0,27.0,8.0
ColinPowell.txt/000000111,307.0,3191.0,9.620808523973675,1.0,1.0,100.0,307.0,307.0,307.0,307.0,48.0,222.0,37.0
MariaBezaitis.txt/000000112,81.0,1224.0,6.617647058823529,1.0,1.0,100.0,81.0,81.0,81.0,81.0,16.0,56.0,9.0
GerardRyle.txt/000000113,129.0,1999.0,6.453226613306653,1.0,1.0,100.0,129.0,129.0,129.0,129.0,15.0,89.0,25.0
JenniferGolbeck.txt/000000114,170.0,1960.0,8.673469387755102,1.0,1.0,100.0,170.0,170.0,170.0,170.0,27.0,116.0,27.0
EliseRoy.txt/000000115,170.0,1588.0,10.705289672544081,1.0,1.0,100.0,170.0,170.0,170.0,170.0,27.0,115.0,28.0
NaomiKlein.txt/000000116,256.0,3034.0,8.437705998681608,1.0,1.0,100.0,256.0,256.0,256.0,256.0,41.0,182.0,33.0
LauraTrice.txt/000000117,77.0,724.0,10.6353591160221,1.0,1.0,100.0,77.0,77.0,77.0,77.0,12.0,55.0,10.0
AdamGrosser.txt/000000118,42.0,517.0,8.123791102514506,1.0,1.0,100.0,42.0,42.0,42.0,42.0,7.0,30.0,5.0
BabaShiv.txt/000000119,123.0,1732.0,7.1016166281755195,1.0,1.0,100.0,123.0,123.0,123.0,123.0,16.0,84.0,23.0
AlexSteffen.txt/000000120,165.0,1906.0,8.656873032528857,1.0,1.0,100.0,165.0,165.0,165.0,165.0,21.0,110.0,34.0
JamesHowardKunstler.txt/000000121,211.0,3119.0,6.764988778454633,1.0,1.0,100.0,211.0,211.0,211.0,211.0,30.0,147.0,34.0
NaliniNadkarni.txt/000000122,234.0,2652.0,8.823529411764707,1.0,1.0,100.0,234.0,234.0,234.0,234.0,43.0,148.0,43.0
RobKnight.txt/000000123,313.0,3438.0,9.10413030831879,1.0,1.0,100.0,313.0,313.0,313.0,313.0,57.0,210.0,46.0
NikolaiBegg.txt/000000124,163.0,1714.0,9.509918319719953,1.0,1.0,100.0,163.0,163.0,163.0,163.0,25.0,117.0,21.0
HomaroCantu.txt/000000125,190.0,1745.0,10.888252148997134,1.0,1.0,100.0,190.0,190.0,190.0,190.0,32.0,126.0,32.0
PaulKempRobertson.txt/000000126,180.0,2032.0,8.858267716535433,1.0,1.0,100.0,180.0,180.0,180.0,180.0,29.0,127.0,24.0
AuretvanHeerden.txt/000000127,137.0,2605.0,5.25911708253359,1.0,1.0,100.0,137.0,137.0,137.0,137.0,14.0,102.0,21.0
JulianTreasure.txt/000000128,147.0,1744.0,8.428899082568808,1.0,1.0,100.0,147.0,147.0,147.0,147.0,17.0,109.0,21.0
ShabanaBasijRasikh.txt/000000129,82.0,1087.0,7.543698252069917,1.0,1.0,100.0,82.0,82.0,82.0,82.0,12.0,58.0,12.0
AomawaShields.txt/000000130,62.0,798.0,7.769423558897243,1.0,1.0,100.0,62.0,62.0,62.0,62.0,12.0,38.0,12.0
IqbalQuadir.txt/000000131,254.0,2460.0,10.325203252032521,1.0,1.0,100.0,254.0,254.0,254.0,254.0,47.0,183.0,24.0
ClaronMcFadden.txt/000000132,62.0,602.0,10.299003322259136,1.0,1.0,100.0,62.0,62.0,62.0,62.0,9.0,44.0,9.0
DorisKimSung.txt/000000133,151.0,1419.0,10.641296687808316,1.0,1.0,100.0,151.0,151.0,151.0,151.0,23.0,105.0,23.0
JulianAssange.txt/000000134,224.0,2732.0,8.199121522693996,1.0,1.0,100.0,224.0,224.0,224.0,224.0,36.0,149.0,39.0
BranFerren.txt/000000135,286.0,3112.0,9.190231362467866,1.0,1.0,100.0,286.0,286.0,286.0,286.0,45.0,191.0,50.0
DavidAnderson.txt/000000136,204.0,2341.0,8.71422469030329,1.0,1.0,100.0,204.0,204.0,204.0,204.0,36.0,141.0,27.0
SimonSinek.txt/000000137,272.0,3268.0,8.32313341493268,1.0,1.0,100.0,272.0,272.0,272.0,272.0,42.0,187.0,43.0
HarshaBhogle.txt/000000138,279.0,2911.0,9.584335279972517,1.0,1.0,100.0,279.0,279.0,279.0,279.0,48.0,195.0,36.0
ErezLiebermanAiden.txt/000000139,208.0,2450.0,8.489795918367347,1.0,1.0,100.0,208.0,208.0,208.0,208.0,32.0,156.0,20.0
MajoraCarter.txt/000000140,247.0,3163.0,7.809042048687955,1.0,1.0,100.0,247.0,247.0,247.0,247.0,43.0,173.0,31.0
NiallFerguson.txt/000000141,215.0,3014.0,7.133377571333776,1.0,1.0,100.0,215.0,215.0,215.0,215.0,35.0,154.0,26.0
WadeDavis.txt/000000142,72.0,1005.0,7.164179104477612,1.0,1.0,100.0,72.0,72.0,72.0,72.0,11.0,49.0,12.0
RajivMaheswaran.txt/000000143,209.0,2107.0,9.919316563834837,1.0,1.0,100.0,209.0,209.0,209.0,209.0,42.0,143.0,24.0
JoelSelanikio.txt/000000144,259.0,3156.0,8.20659062103929,1.0,1.0,100.0,259.0,259.0,259.0,259.0,40.0,191.0,28.0
JanetteSadikKhan.txt/000000145,192.0,2286.0,8.398950131233596,1.0,1.0,100.0,192.0,192.0,192.0,192.0,35.0,136.0,21.0
JenniferSenior.txt/000000146,247.0,2524.0,9.786053882725833,1.0,1.0,100.0,247.0,247.0,247.0,247.0,37.0,179.0,31.0
ThomasSuarez.txt/000000147,64.0,720.0,8.88888888888889,1.0,1.0,100.0,64.0,64.0,64.0,64.0,11.0,44.0,9.0
EmanMohammed.txt/000000148,39.0,529.0,7.3724007561436675,1.0,1.0,100.0,39.0,39.0,39.0,39.0,7.0,23.0,9.0
JocelyneBloch.txt/000000149,137.0,1578.0,8.681875792141952,1.0,1.0,100.0,137.0,137.0,137.0,137.0,20.0,93.0,24.0
ChristianaFigueres.txt/000000150,157.0,1904.0,8.245798319327731,1.0,1.0,100.0,157.0,157.0,157.0,157.0,22.0,108.0,27.0
JeffSmith.txt/000000151,54.0,750.0,7.2,1.0,1.0,100.0,54.0,54.0,54.0,54.0,11.0,34.0,9.0
VanessaRuiz.txt/000000152,127.0,1591.0,7.982401005656819,1.0,1.0,100.0,127.0,127.0,127.0,127.0,24.0,85.0,18.0
MarcoTempest.txt/000000153,32.0,518.0,6.177606177606178,1.0,1.0,100.0,32.0,32.0,32.0,32.0,3.0,21.0,8.0
SueAustin.txt/000000154,63.0,686.0,9.183673469387756,1.0,1.0,100.0,63.0,63.0,63.0,63.0,7.0,44.0,12.0
FredJansen.txt/000000155,261.0,3183.0,8.19981149858624,1.0,1.0,100.0,261.0,261.0,261.0,261.0,43.0,175.0,43.0
RenataSalecl.txt/000000156,125.0,1929.0,6.480041472265422,1.0,1.0,100.0,125.0,125.0,125.0,125.0,25.0,84.0,16.0
VikramPatel.txt/000000157,138.0,1921.0,7.183758459135866,1.0,1.0,100.0,138.0,138.0,138.0,138.0,22.0,84.0,32.0
LuxNarayan.txt/000000158,75.0,888.0,8.445945945945946,1.0,1.0,100.0,75.0,75.0,75.0,75.0,10.0,56.0,9.0
JaySilver.txt/000000159,265.0,2570.0,10.311284046692608,1.0,1.0,100.0,265.0,265.0,265.0,265.0,45.0,183.0,37.0
SandiToksvig.txt/000000160,233.0,2879.0,8.093087877735325,1.0,1.0,100.0,233.0,233.0,233.0,233.0,42.0,158.0,33.0
RobynSteinDeluca.txt/000000161,177.0,2155.0,8.213457076566126,1.0,1.0,100.0,177.0,177.0,177.0,177.0,18.0,123.0,36.0
SteveRamirez.txt/000000162,268.0,2816.0,9.517045454545455,1.0,1.0,100.0,268.0,268.0,268.0,268.0,45.0,188.0,35.0
AlexKipman.txt/000000163,204.0,2532.0,8.056872037914692,1.0,1.0,100.0,204.0,204.0,204.0,204.0,21.0,148.0,35.0
ChrystiaFreeland.txt/000000164,148.0,2169.0,6.8234209313047485,1.0,1.0,100.0,148.0,148.0,148.0,148.0,17.0,107.0,24.0
ShlomoBenartzi.txt/000000165,224.0,2650.0,8.452830188679245,1.0,1.0,100.0,224.0,224.0,224.0,224.0,27.0,162.0,35.0
MonicaByrne.txt/000000166,164.0,1566.0,10.472541507024266,1.0,1.0,100.0,164.0,164.0,164.0,164.0,23.0,112.0,29.0
TalDanino.txt/000000167,60.0,703.0,8.534850640113797,1.0,1.0,100.0,60.0,60.0,60.0,60.0,7.0,43.0,10.0
SirKenRobinson.txt/000000168,191.0,2678.0,7.132188200149365,1.0,1.0,100.0,191.0,191.0,191.0,191.0,24.0,136.0,31.0
WilliamBlack.txt/000000169,215.0,2567.0,8.375535644721465,1.0,1.0,100.0,215.0,215.0,215.0,215.0,40.0,150.0,25.0
MollyCrockett.txt/000000170,125.0,1631.0,7.664009809932557,1.0,1.0,100.0,125.0,125.0,125.0,125.0,20.0,80.0,25.0
JohnnyLee.txt/000000171,80.0,903.0,8.859357696566999,1.0,1.0,100.0,80.0,80.0,80.0,80.0,12.0,59.0,9.0
StephanieBusari.txt/000000172,72.0,950.0,7.578947368421052,1.0,1.0,100.0,72.0,72.0,72.0,72.0,12.0,51.0,9.0
StephenFriend.txt/000000173,116.0,1654.0,7.013301088270858,1.0,1.0,100.0,116.0,116.0,116.0,116.0,26.0,71.0,19.0
KevinAllocca.txt/000000174,74.0,913.0,8.105147864184008,1.0,1.0,100.0,74.0,74.0,74.0,74.0,14.0,48.0,12.0
PaulMacCready.txt/000000175,241.0,2884.0,8.356449375866852,1.0,1.0,100.0,241.0,241.0,241.0,241.0,32.0,164.0,45.0
StephenBurt.txt/000000176,202.0,1941.0,10.407006697578568,1.0,1.0,100.0,202.0,202.0,202.0,202.0,33.0,141.0,28.0
JonathanKlein.txt/000000177,74.0,1006.0,7.355864811133201,1.0,1.0,100.0,74.0,74.0,74.0,74.0,18.0,46.0,10.0
PeterVanManen.txt/000000178,106.0,1298.0,8.166409861325116,1.0,1.0,100.0,106.0,106.0,106.0,106.0,14.0,77.0,15.0
SrdjaPopovic.txt/000000179,159.0,2079.0,7.6479076479076475,1.0,1.0,100.0,159.0,159.0,159.0,159.0,30.0,105.0,24.0
MarvinMinsky.txt/000000180,244.0,2158.0,11.306765523632993,1.0,1.0,100.0,244.0,244.0,244.0,244.0,34.0,179.0,31.0
JohnFrancis.txt/000000181,282.0,2745.0,10.273224043715848,1.0,1.0,100.0,282.0,282.0,282.0,282.0,54.0,186.0,42.0
KarenThompsonWalker.txt/000000182,159.0,1842.0,8.631921824104234,1.0,1.0,100.0,159.0,159.0,159.0,159.0,18.0,118.0,23.0
SusanEtlinger.txt/000000183,193.0,1840.0,10.48913043478261,1.0,1.0,100.0,193.0,193.0,193.0,193.0,24.0,140.0,29.0
JoshuaSmith.txt/000000184,151.0,1797.0,8.402893711741791,1.0,1.0,100.0,151.0,151.0,151.0,151.0,24.0,101.0,26.0
EddieObeng.txt/000000185,192.0,2248.0,8.540925266903914,1.0,1.0,100.0,192.0,192.0,192.0,192.0,33.0,131.0,28.0
SarahLewis.txt/000000186,153.0,1818.0,8.415841584158416,1.0,1.0,100.0,153.0,153.0,153.0,153.0,20.0,116.0,17.0
TabethaBoyajian.txt/000000187,195.0,2179.0,8.949059201468563,1.0,1.0,100.0,195.0,195.0,195.0,195.0,28.0,139.0,28.0
AnthonyAtala.txt/000000188,240.0,2884.0,8.321775312066574,1.0,1.0,100.0,240.0,240.0,240.0,240.0,36.0,169.0,35.0
ApolloRobbins.txt/000000189,105.0,1518.0,6.91699604743083,1.0,1.0,100.0,105.0,105.0,105.0,105.0,17.0,70.0,18.0
TomChatfield.txt/000000190,220.0,2941.0,7.480448826929615,1.0,1.0,100.0,220.0,220.0,220.0,220.0,32.0,153.0,35.0
