Name;Relevance;Genre;Tags;Description;URI;Category
Ad Vincere Mundi;;History;;"I cover Classical History as well as Christian history and theology from a non-orthodox Christian perspective. I will talk about everyone and everything. 'Western Civilization' is a lie, Rome was a dystopia, everyone was gay, and Jesus wasn't white.

Twitter: @Ad_Vincere_Pod";spotify:show:2VaI1g8xumndG9QFPmhAvu;
Adolf Hitler Talk Show;;History;;"We specialize in interviewing dead people from World War 2. Support this podcast: <a href=""https://anchor.fm/ahitlerstory/support"" rel=""payment"">https://anchor.fm/ahitlerstory/support</a>";spotify:show:5nUuZO4H0fhLki5MKq9CrF;
Alicia’s Key to a simple life;;Science, Life Sciences;;"Covering a little bit of life, one relatable topic at a time. 
Also to just enjoy life you only get one.";spotify:show:3NtAZCgubNvTcTgF74v2Wt;
Alpha Male Strategies;;Science, Social Sciences;;"Teaching men real alpha male qualities. 
 Support this podcast: <a href=""https://anchor.fm/alphamalestrategies/support"" rel=""payment"">https://anchor.fm/alphamalestrategies/support</a>";spotify:show:3Z2DiiMgsKo9h6EfuWkVPY;
American Girls;;History;;The series you loved, book by book. Join Allison Horrocks and Mary Mahoney as they explore the wild world of American Girl fandom. In each episode, Allison and Mary will dive into an American Girl book from their (and perhaps your) childhood. Using their knowledge as professional historians and finely tuned instincts as amateur pop culture critics, they’ll take you back to a very different time—the 1990s.;spotify:show:0q14aUbVF3rTacMkXccqPT;
American most terrific history ever.;;History;;The history of the United States is what happened in the past in the United States, a country in North America.;spotify:show:47uWhg028luRTiDBVMjdS9;
An Acquired Taste;;Science, Life Sciences;;Just as we slowly come to like certain foods when we try them again and again, Navya, Rithu and Moumita talk about controversial, taboo and social issues in each episode with the hopes to have all generations acquire the taste of current and proposed societal norms.;spotify:show:0pylokR5uiCdcoM8SNxBbb;
An Astrophysicist In A Car Getting Coffee;;Science, Astronomy;;In my daily commute to work, while driving and drinking coffee, I talk about the Universe and everything inside. This is a monologue of a bored astrophysicist as I circumvent the streets in Baltimore.;spotify:show:5nfsbUQ9VgY4EcXNvvXXx5;
Anarchopac;;History;;"The podcast of a youtube channel dedicated to explaining the theory and history of anarchism, feminism and marxism.

youtube.com/anarchopac
anarchopac.wordpress.com
patreon.com/anarchopac";spotify:show:6G00ZFXRjlQBZOBSTRdeav;
Ancient Gods and Demons;;History;;"Ancient Gods and Demons is a PodCast that explores the history and legend of a variety of Deities and Entities that have been mentioned throughout recorded history and still remain with us today. Support this podcast: <a href=""https://anchor.fm/brian-sc/support"" rel=""payment"">https://anchor.fm/brian-sc/support</a>";spotify:show:1FZtvqXV7YGeqposmRXyHQ;
Angkor Wat?;;History;;Discussions of Cambodian history and culture.;spotify:show:7xDOmZqVKdHq78J5bbZv2o;
Antarcticast;;Science, Earth Sciences;;A podcast to share a bit of mine dream of going to Antarctica coming true;spotify:show:6PhJ6q5trgOuhqpP7zzqE6;
Anthropological Theory: A podcast created by anthropology students;;Science, Social Sciences;;"The aims of the podcast are to be a resource for future anthropology students and to raise popular awareness of social theory’s relevance to issues of public interest. 

-This podcast is for educational purposes only and was produced by students taking ANTH 391 Anthropological Theory at CSUSM-";spotify:show:6aA7JmxyWRiRqtVXPAMajr;
Apologize;;Science, Nature;;We’ve all had to do it at one time or another, apologize for bad behavior, a careless comment, or misunderstanding of some kind;spotify:show:1rkvnxnkjjBLWpMPuxtp2Y;
Assassinations;;History, True Crime, Society & Culture;;"One death can change the world. At least, that's what assassins believe. Assassinations recounts history's most dramatic deaths.Through little-known facts, ""what-ifs?"" and examining assassin's motives, we examine how one murder can alter the course of history. A new episode releases every Monday. Assassinations is a production of Cutler Media and part of the Parcast Network.";spotify:show:0GV1EPX2lvNnkNwnzZgF3F;
Astrology Signs;;Science, Astronomy;;"There are 12 different signs in zodiac; Aries, Taurus, Gemini, Cancer, Leo, Virgo, Libra, Scorpio, Sagittarius, Capricorn, Aquarius, and Pisces. Join the podcast to learn about the different zodiac signs and their traits. This show is for people who are interested in astrology.";spotify:show:6nEz3FMtM5ct17ov5SWNwZ;
Audiophiles;;Society & Culture, Documentary;;Podcast;spotify:show:4OLlE94k3UlXGdkTk7IdWS;
Authentic Biochemistry;;Science, Natural Sciences;;"You have wisely landed upon Authentic Biochemistry, with Dr Daniel J Guerra, where published research and clinical science is interrogated. Support this podcast: <a href=""https://anchor.fm/dr-daniel-j-guerra/support"" rel=""payment"">https://anchor.fm/dr-daniel-j-guerra/support</a>";spotify:show:02oYQ2WL7raDmbW1DoA777;
Avatar Awakening;;Science, Social Sciences;;Hey! Thanks for tuning in. This podcast focuses on Jungian Psychology and delves into the various cognitive functions, personality types and social engineering.;spotify:show:6LWiY1bMNBKwuQ73aoWLpQ;
Ava’s take on history;;History;;10th grader Ava Nicole Maxwell gives her take on history.;spotify:show:2Ow2nbOhY2TtFPJqB1ssiv;
Beautiful Humans: The Social ChangeCast;;Science, Social Sciences;;The Social ChangeCast is a podcast started by two behavior analysts who are passionate about bridging behavioral science and social justice. Together, they bring you weekly conversations about current events around hard topics such as racism, sexism, hetero-sexism and all forms of oppression.;spotify:show:35SrzscMDFPVC7OmKN3LAa;
Behavior Bitches;;Science, Social Sciences;;"Ever wonder why guys always assume you’re down to get dirty within 3 seconds of meeting them? Why you keep making the same bad decisions and getting back with your crummy ex? Why you can’t stick to a diet? Well, there’s a reason and we’re ready to be direct AF with you by behaviorally breaking down the situation and identifying the function in a way that any average Joe or Jane can understand.

Liat Sacks & Casey McDaniel, two badass Behavior Analysts are your soon to be BFF’s because they make this crazy, “random” world make sense through the lens of Applied Behavior Analysis (ABA).";spotify:show:06DN2th96dYmRtHEQFNKTo;
Behind the Microscope;;Science;;"A podcast about life in research. We are four MD/PhD students trying to discover the how and the why behind some of the most successful scientists. This podcast is not focused on the research itself, but rather on the process behind it. Our discussions will center on mentorship, grantsmanship, leadership, etc. We hope you enjoy!

Follow us on social media!
Twitter: @behindthescope_
Instagram: @behindthemicroscopepod
Facebook: @behindthemicroscope1";spotify:show:6EkAV2xex1otADSS3IvVBi;
Beneath The Staircase ;;History;;"A Paranormal Podcast  Support this podcast: <a href=""https://anchor.fm/beneaththestaircase/support"" rel=""payment"">https://anchor.fm/beneaththestaircase/support</a>";spotify:show:2wn3kP1SqdX6o0IJtPxe0U;
Benny pod;;History;;Podcast about history.;spotify:show:6lO6gnSlZdUJTuQ4Jg9kK9;
Between Two Pines;;Science, Nature;;Two natural resources professionals have some laughs and talk about current news related to the outdoors. Listen in and you may even learn a few things along the way.;spotify:show:2t9Kk4FHmiEkjNPJctidN6;
Beyond Reality Paranormal Podcast;;Science;;"Beyond Reality Paranormal, a conversation about the normal, the abnormal, the paranormal and everything in between hosted by JV Johnson and featuring Ghost Hunters' Jason Hawes.

Are ghosts real? Are extraterrestrials here? Does Bigfoot exist? Are the conspiracy theories legitimate? Join the search for answers as we venture into the space where reality ends, and Beyond Reality begins. Beyond Reality - a chatter of life and death. Support this podcast: <a href=""https://anchor.fm/brparanormal/support"" rel=""payment"">https://anchor.fm/brparanormal/support</a>";spotify:show:5ge4BXYxuOjPxBadTJknEx;
Bigger Than Us;;Science, Earth Sciences;;Nexus PMG welcomes you to the Bigger Than Us™ podcast, which we, as energy geeks lovingly refer to as the BTU. Bigger Than Us is a podcast that focuses on ideas that will shape the future of our planet and ultimately, our existence. We will occasionally lean into energy topics because after all, it’s the key to our collective survival, but we’ll also explore other areas that we believe will have an effect that is Bigger Than Us.;spotify:show:67nkmjyMAJwvJT77cZvxjI;
Biology for Bastards;;Science;;Teaching biology in the most profane way you've ever seen or heard;spotify:show:6hj26idFRLheiJslz2ozfQ;
Biology with Hash;;Science, Life Sciences;;"Do you love biology and want to hear someone fangirling over the new things in this field? Tune in To This podcast.
The biggest procrastinating biology enthusiast hosts this show who wants you to fall in love with biology the same way she is in love with it.";spotify:show:1SHOuXdcSD5JBOfnRzJS4h;
Black Cloud Society;;Science;;"Black Cloud Society was born out of a necessity to fill a gap in ems podcasts. A gap that typically avoids the discussion of EMS culture and its need to change. While EMS Podcasts that cover clinical and educational topics are much needed, Black Cloud Society is a place where listeners can take a different point of view. A place where listeners can come and reflect on themselves, their peers, and their agencies; and hopefully be inspired to evolve. Not just evolve in their own mindset or practice, but to evolve the very Black Cloud that shades the culture of EMS.";spotify:show:3Uo4j7atnTP8VnrHleAJFt;
Black Equity Podcast;;Society & Culture, Documentary;;"Connecting the right Black Entrepreneurs with right Black Investors is one key to creating Generational Wealth. Each week join D.J. Moultrie, an Equity Investor and thought leader on Society and Culture grants you access by highlighting and documenting the exact connections needed to obtain Black Equity.  Support this podcast: <a href=""https://anchor.fm/blackequity/support"" rel=""payment"">https://anchor.fm/blackequity/support</a>";spotify:show:6d07VpBRVuaLEVSQzGODM4;
Black History Buff Podcast;;History;;"The Black History Buff podcast is a fun and thrilling journey through time. Covering the full historical tapestry of the African Diaspora, you’ll hear tales covering everything from African Samurai to pistol-wielding poets. More than just a podcast, the show is a bridge that links communities throughout the African diaspora and enlightens and empowers its friends.

If you'd like to become a friend of the show follow the links on this page

https://pod.fan/black-history-buff-podcast

You can find me at https://www.blackhistorybuff.com/pages/social-2 & www.blackhisto Support this podcast: <a href=""https://anchor.fm/blackhistorybuff/support"" rel=""payment"">https://anchor.fm/blackhistorybuff/support</a>";spotify:show:6CDExrHONAzUy8ksCgXsYy;
Black and White Judies;;Society & Culture, Documentary;;"Best friends Jerome and Johnny cackle and converse on various topics and bond over their favorite diva, Mariah Carey. Support this podcast: <a href=""https://anchor.fm/blackandwhitejudies/support"" rel=""payment"">https://anchor.fm/blackandwhitejudies/support</a>";spotify:show:6CNyFBx2CFv1nrWhMIa6do;
Bloodborne's Existential Journey;;History;;A podcast for one Professor Judaken, scratching the surface of existential elements in the video game Bloodborne;spotify:show:5WuZiJK8DzKbdEqwkxMmtE;
Bloody Beaver;;cowboys, gunfighters, nativeamerican, oldwest, outlaws, texashistory, ushistory, wildwest, History, Comedy, Education;;"True stories from the wild and woolly west. Also really lame jokes! Each episode I discuss a real life person or event from the wild west era (gunfighters, lawmen, outlaws, Native Americans, frontiersmen, etc).

I'm neither a historian or comedian, but I do try to be as accurate as possible whilst dispensing dad jokes and mispronunciations. NSFW language abounds.";spotify:show:7gMX9BO0CQQmERpzqAEZrL;
Blueberry;;Science;;"Space topics and STEM advice from Alyssa Carson call sign Blueberry Support this podcast: <a href=""https://anchor.fm/alyssa-carson/support"" rel=""payment"">https://anchor.fm/alyssa-carson/support</a>";spotify:show:5yqcLXJgzsx86AWpoRidVi;
Bonds bond ;;Science, Physics;;Rap;spotify:show:2O2w1CQdhkbm3MDGndhdcT;
Boosier Podcast ;;History;;Two best friends exploring the haunts of the heartland, and trying new cocktails along the way.;spotify:show:66KJY21RtBeRe62fwPAUGz;
Born Free Podcast;;Science, Nature;;"Born Free is an international wildlife charity that works to ensure the survival of threatened species in the wild and protect natural habitats. Join us as we talk to inspiring wildlife conservationists, welfare activists, campaigners and biologists, to cover all things from the controversial nature of trophy hunting, to uncovering the personal stories that inspire a lifelong commitment to wildlife and habitat protection.
Follow us on Twitter @BornFreeFDN and Instagram @BornFreeFoundation";spotify:show:0sN3ojzN4M6Pa5jF9t6Ryo;
BrainSTEM Podcast;;Science;;Listen to how people from all over the world pursue their passion for STEM (Science, Technology, Engineering and Mathematics) as a hobby or career and how you can do the same!;spotify:show:5iHXpo0bVSojNggfHzvt1K;
Brainscape;;Science, Social Sciences;;"We are 'Brainscape' - The Glasgow University Psychology Society podcast. 
Listen out for our weekly thought-provoking podasts exploring real applications of psychology research.
In our Campus Chat episodes we get opinions from all over campus about our topic.
In Brainscape part 1 and 2 we discuss amazing reserach with great co-hosts and in our interviews you can hear academics delve deeper into exciting research.

Email Brainscape@gmail.com to give us opinions, suggestions and get your audio clips featured in an episode!
Created by Amelia Hilton for the Glasgow University Psychology Society.";spotify:show:4xm16tF5ib3w4FWWz0ZOAg;
Brass Tacks History;;History;;Graham and Sam, your resident history buffs, dive headfirst into their new podcast which guarantees that you'll pass any history exam thrown your way.;spotify:show:2DInULXf5cYyAdI2TtZvLx;
Breaking Math Podcast;;Science, Mathematics;;"Breaking Math is a podcast that aims to make math accessible to everyone, and make it enjoyable. Every other week, topics such as chaos theory, forbidden formulas, and more will be covered in detail. If you have 45 or so minutes to spare, you're almost guaranteed to learn something new! Support this podcast: <a href=""https://anchor.fm/breakingmathpodcast/support"" rel=""payment"">https://anchor.fm/breakingmathpodcast/support</a>";spotify:show:2All747WhUp3IdgLpPEf2i;
Burks at Loyola - The Podcast;;History;;Everything AP World History: Modern!;spotify:show:7f9WfvcDmxIsLdbQzPt3Lv;
CBD Deep Dive;;Science;;"Join Dr. Jonny Lisano and Dr. Helena Yardley, experts in the science of CBD and cannabis, as they discuss scientific research, physiology and common misconceptions of CBD. The CBD Deep Dive is sponsored by 6° Wellness, a hemp-derived CBD company focused on providing the highest quality CBD products backed by science. 

Disclaimer: The information provided in this podcast is purely for educational purposes, this information nor any of the products provided by 6° Wellness are not intended to diagnose, treat or cure any diseases. Always consult with a physician prior to taking any new supplements";spotify:show:3S4neGTN11G0CbnJzvzK5s;
Carbon Neutral Lent Podcast;;Science, Natural Sciences;;Darragh Wynne and Eleanor O' Brien bring you weekly updates on how they're getting on going Carbon Neutral this Lent and what they're learning from the whole experience.;spotify:show:66PDR12dQZR2s2Y1dTaf2d;
Carpool Chemistry;;Science;;"Everywhere you scroll there is misinformation and fake news perpetuated by people who are ignorant or are scam artists. Koleton combats the growing idiocracy with the actual facts and science. So come fill your brain hole with some knowledge and hopefully fill your soul hole with some entertainment in Carpooling with Chemistry.

Koleton is a PhD student at Utah State University in Biochemistry.";spotify:show:77XdGpeqbDUOlbAOe7FYhX;
Catch The Fever Fishing Podcast;;Science, Nature;;Catch The Fever fishing podcast is a performance fishing gear company on a mission to provide you with the best advice,tips and tricks to help you catch more and bigger fish out on the water.;spotify:show:0OGTEpUgesXgm3r9HApSS2;
Channeling in with Chanelle ;;Society & Culture, Documentary;;Bringing necessary topics to light to show that none of us are alone and we’re in this together.;spotify:show:2S39GtykFQJfZN1eq9hxbm;
Class Dismissed;;Society & Culture, Documentary;;The thoughts of teachers outside the classroom;spotify:show:7Ieeo24W6b6ZUiXYkZpy9k;
Climate Scientists;;Science;;"Informal conversations with climate-relevant researchers

[Any opinions expressed do not necessarily reflect those of our employers or funders]";spotify:show:7dCPcUbvKCgnWzcZZa3jS6;
Clintwood Back In The Day;;History;;"Remembrances of the ""good ole days"" of coal, confidence, and football.";spotify:show:3kfVtXfNPY0Z98QYPBAv0R;
Cody Creelman, Cow Vet;;Science;;Veterinarian and vlogger, Cody Creelman, dives deep into the topics he's passionate about.;spotify:show:2I452igaHkGDWW3Qf4AZA7;
Coffee Tea and AI;;Science;;This podcast aims to bring conversations around AI Ethics as well as AI related news from Europe and China to keep our listeners updated and informed.;spotify:show:1vPaKxbc7SQGB5Eq57riQ8;
Con Artists ;;True Crime, Society & Culture, History;;You trust them with your life. They seem like a friend. Family, even. Anyone can fall victim to a con, and many have. What type of person intentionally tries to deceive, manipulate and eventually destroy someone with their web of lies? This Parcast Original peeks behind the masks of the most notorious Con Artists, and explores how far someone will go in order to gain money, power, and respect. New episodes are released every Wednesday.;spotify:show:6s8xzsIn1JIvEv0X9sa7sb;
Conspiracy Theories;;History, True Crime, Society & Culture;;The truth is rarely the best story. And when it’s not the only story, the truth deserves another look. Every Wednesday, we tell the complicated stories behind the world’s most controversial events and possible cover-ups. Conspiracy? Maybe. Coincidence? Maybe. Complicated? Absolutely. Conspiracy Theories is part of the Parcast Network and is a Cutler Media Production.;spotify:show:5RdShpOtxKO3ZWohR2M6Sv;
Conspiracy or Just a Coincidence?;;History;;"From aliens, to the occult, to government conspiracies. Our history is filled with unexplained patterns and events. Are these occurrences all coincidences and conjecture, or is there a deeper, more sinister plot behind them? Support this podcast: <a href=""https://anchor.fm/jackallen1/support"" rel=""payment"">https://anchor.fm/jackallen1/support</a>";spotify:show:1UatqcZAB1r5vrSRymy8Vt;
Conviction;;True Crime, Society & Culture, Documentary, News;;When John Quinney was ten years old, he took the stand to testify against his own father. He had come to believe that his dad Melvin was the murderous leader of a satanic cult. It would be decades before John would learn that his family was just one of many swept up in a panic that gripped America in the 1980s—one in which hundreds of people were accused of taking part in underground satanic cults that sacrificed infants and sexually abused children. By the time the panic had subsided, scores of people were in prison, convicted on little to no evidence—people like John's father. Conviction: American Panic takes you inside one of the darkest and most bizarre chapters of American history. This series contains descriptions of adult subject matter, including details of sexual abuse and trauma. It may not be suitable for everyone, discretion is advised.;spotify:show:2XquJlPU9ibLYZMH0ZzFwA;
Could We Ever...;;Science;;"“Could We Ever...” shines a light on UT Dallas experts and asks them to tackle questions you never knew you needed answered — from science to art and more.

Produced by the UT Dallas Office of Communications.";spotify:show:4lRu9gOpUpNCC0U8Z9lxwx;
Countries That Don't Exist Anymore;;History;;Join Ed and Phil O'Meara as they look at countries lost to the mists of time. We’ll have stories, sketches, songs and guests. Have you ever heard of the Republic of West Florida? Or how about the Soviet Republic of Bavaria? Subscribe to hear their stories, learn and maybe even laugh.;spotify:show:4zR9E0tv7qAOCTIVXTvKsa;
Crazy Sockz EMTz;;Science;;EMTz doing amazing thingz. Follow: gearisup on IG, hit me up for feedback!;spotify:show:5BFzpWijHEnEkNxGhvLtBM;
Crimes of Passion;;True Crime, Society & Culture, History;;Every Wednesday, we tell a love story that turns into a crime story. Our subjects might start as lovers, friends, or family, but by the end, there's a criminal and a victim. Along the way, we analyze the relationship dynamics and psychology that lead to betrayal, theft, and even murder. Crimes of Passion is part of the Parcast Network, and a production of Cutler Media.;spotify:show:5PFgy6lc8UvYIjDsaaO3dN;
Criminal Behaviorology;;Science, Social Sciences;;"Criminal Behaviorology is the synthesis of criminology and behavior analysis. This podcast reviews areas of importance to both fields and explores new possibilities. Criminal Behaviorology is a podcast for all those interested in crime, psychology, history, and improving the world we live in. 
Contact: criminalbehaviorology@gmail.com

Cover art photo provided by David von Diemar on Unsplash: https://unsplash.com/@emotionspicture Support this podcast: <a href=""https://anchor.fm/criminalbehaviorology/support"" rel=""payment"">https://anchor.fm/criminalbehaviorology/support</a>";spotify:show:5VM7Sjv762u7nb91YWGczZ;
Criminal Prints;;True Crime, True Crime, History, Society & Culture;;Criminal Prints is a true crime podcast with an emphasis on evidence, or as we call it, the criminal prints.;spotify:show:3ItnqUK5THAZKDrIPJg0PZ;
Cults;;True Crime, History, Society & Culture;;Mystery. Manipulation. Murder. Cults are associated with all of these. But what really goes on inside a cult? More specifically, what goes on inside the minds of people who join cults and leaders who start them? Every Tuesday, Greg and Vanessa (co-hosts of the podcast Serial Killers) explore the history and psychology behind the most notorious cults. Cults is part of the Parcast Network and is a Cutler Media production.;spotify:show:4JbxNUkWfveKC0xnKrK7tX;
Cultured Meat and Future Food Podcast;;Science;;"Cultured Meat and Future Food is a short-form podcast series discussing the role of plant based food, clean meat, cultivated meat and food technology. The show is focused on asking industry leaders questions for an audience with a non-scientific background. Cultured Meat and Future Food is targeted towards entrepreneurs interested in the food technology space. Support this podcast: <a href=""https://anchor.fm/futurefoodshow/support"" rel=""payment"">https://anchor.fm/futurefoodshow/support</a>";spotify:show:3LIfMv5g2o8H7TslQewBaa;
Curious Connecticut;;History;;"A multimedia podcast focusing on the unique, unknown, and fascinating history in the Constitution State.

Follow us on Twitter: CuriousCTPod
Follow us on Instagram: CuriousCTPodcast";spotify:show:10rK8C7wURXWEaQqVyFtYL;
Cycling Matters Podcast;;Society & Culture, Documentary;;Cycling Matters is many things. We are a happy collective of cyclists who have gotten tired of just waiting and ranting about how unhappy our local biking conditions can be. And we are also an experiment in pushing for positive change through the insightful reporting of cycling news, the production of accessible educational content, and the celebration of Filipino cycling culture.;spotify:show:3NF26ijiCiMSbGg8Ctgzku;
D.I.N.K.S;;Society & Culture, Documentary, Comedy, Leisure;;What is DINKS? D.I.N.K- Dual Income No Kids. Dual income doesn’t have to mean “married” it could simply mean you have dual income and you and your partner do not have/want kids Or You can also have ONE income and still not want kids (S.I.N.K.S)...but we (the hosts) have dual income and are married...so we decide to roll with it. This podcast is for women across the world who go against the grain of what society and traditions tell them to do. This podcast is for married women, women who are dating, single women...and just WOMEN...OVERALL.;spotify:show:564DSaqyx4GT9FaDrjZSLl;
DML;;Science, Natural Sciences;;100.2;spotify:show:4IV0oQsXDZl7PO6cfwauQW;
Dancing in the Moment;;Science, Social Sciences;;"Barefoot Coaching CEO, Kim Morgan interviews people from the world of coaching.

During the Dancing in the Moment podcasts, Kim sits down with people she admires and respects - talking about their story, approach and their insights into coaching.";spotify:show:3TZCPKoQpbvnWigVdq48Uu;
Dark Geometry;;Science;;"Join our expedition to the invisible intersections between science, technology and culture. Welcome aboard ""Dark Geometry"" a computational explorers podcast!";spotify:show:5o6Yy2z9HQYSJp6cE3rOZn;
Deep Astronomy;;Science, Natural Sciences;;"Welcome to Deep Astronomy, a podcast dedicated to helping us understand our place in the universe. Support this podcast: <a href=""https://anchor.fm/deepastronomy/support"" rel=""payment"">https://anchor.fm/deepastronomy/support</a>";spotify:show:6hT8NSuIjiZcgejbO6ulvc;
Depressing Physics;;Science, Natural Sciences;;The world is depressing. But physics has a billion depressing things by itself. Let's explore the depressing things.;spotify:show:58d4HOrmNutTPI3mhg5UzM;
Dictators ;;History, True Crime, Society & Culture;;They are natural-born-leaders with a never-ending thirst for power. Through force and deceit, they rise through the ranks towards radicalism—eliminating anyone who stands in their way. Every Tuesday, delve into the minds, and motives, behind some of the world’s most infamous leaders in Parcast’s original series, DICTATORS. Each dictator is analyzed in 2-part episodes...with the first giving insight into their rise to power, and the second chronicling the impact of their downfall.;spotify:show:5JwUl9pJUndHkbiiJTKRqg;
Dissecting History;;History;;Dissecting History is the passion project of a 19 year old history nerd. This podcast is a fun and easy to understand rant about certain people, events, places etc in history. Even if you don’t like history, this podcast is an easy way to learn the basics.;spotify:show:3IVIJo3HyeuATvJIiuZbyE;
Dog Tales ;;Society & Culture, History, Health & Fitness;;They’re four-legged, full of love and often times more like family than their nickname suggests. Parcast Network’s endearing original series, Dog Tales, tells the true stories of heroic canines that have gone above and beyond their “best friend” duties. Every Monday, embark on a new journey of courage, service and unwavering sacrifice by our most loyal companions.;spotify:show:6Cg6ZBmPpcq8GFgFdGLKxV;
Dope Labs;;Science, Society & Culture, Education;;Dope Labs is a new podcast from Spotify Studios hosted by best friends (and two of the dopest scientists you will ever meet), Titi and Zakiya. In each episode, they serve up scientific principles with a healthy dose of tea. From cuffing season to Cardi B, they’ll take what’s trending and put it under the microscope with the help of some very smart (and cool) scientific friends. At Dope Labs, we believe “science is for errybody” and our mission is to bring out the inner scientist in YOU.;spotify:show:3pCF6hcNsAHKlKAillCOuZ;
Dose Makes The Poison: The Toxcast;;Science, Chemistry;;A podcast about forensic toxicology and chemistry. We talk about drugs, poisons, and forensics in the news.;spotify:show:1Zmkaj0XoQ1L4p4AhN6vq2;
Double Helix History ;;History;;This series of podcasts allows you to investigate the world of DNA and Family History. In four episodes we consider the ways in which DNA is being used around the world.;spotify:show:2tTA2xYpcS5YuTIXzXakTu;
Dr Jekyll and Mr Hyde ;;Science;;Interviews with the cast of Jekyll and Hyde;spotify:show:0BhfvBUyGAeO3CrxvFQ10w;
Dr. Chapa’s ObGyn Pearls. ;;Science;;Relevant, evidence based, and practical information for medical students, residents, and practicing healthcare providers!;spotify:show:4rqGaRY0PExux3cyyYZxM2;
DreadTalk;;History;;Investigating Southeast Texas's infamous mysteries, hauntings, and murders.;spotify:show:0BG0jUcbwykZVQzKMOuxpE;
Drifting On Memories;;History;;"A lowrider culture podcast. Recorded historical accounts of the Lowrider culture, by its predecessors. Interviews and conversations with the men and women that paved the way for decades of Chican@ culture. The cars, the clubs, the music, fashion and activism of the early days of the Lowrider movement. 
The Lowrider culture is known around the world but rarely is the story told by those whom were there.";spotify:show:1LiB5EU9OpG5MMtkbmkVGQ;
Drunk History- World Religions;;History;;We get regular history professors drunk and ask them questions they know...or should know;spotify:show:31fz2diu0EJ1oKTnMBYkPe;
EMT A to Z ;;Science;;I am a nurse and medic who values continued education. I go over all the necessary skills needed to take care of your patient in almost any pre-hospital medical condition. I created this to give you a quick reference and refresher on pre-hospital skills needed for EMT, Paramedic, Medic, Nurses, Doctors etc.;spotify:show:7De6851EDFeLKZx4CFACCx;
Economics In Ten;;Science, Social Sciences;;Economics In Ten is your go-to podcast if you want to learn about the lives, times and ideas of the world's greatest economic thinkers. Each episode is a fun exploration of a famous economist using ten different questions. Presented by Pete and Gav, your friendly neighbourhood economists, with technical support from Nic and music from Jukedeck - create your own at http://jukedeck.com;spotify:show:44pI1bcAKbrA2fLZpwJF4X;
Ego;;Science, Nature;;"On the other hand Leaders tend to be relational and more understanding with everybody around. Support this podcast: <a href=""https://anchor.fm/kate-john/support"" rel=""payment"">https://anchor.fm/kate-john/support</a>";spotify:show:5NuQfKTnELLGUlPgbt2tmR;
