Name;URI;Genre;Tags;Category;Relevance;Description
Conviction;spotify:show:2XquJlPU9ibLYZMH0ZzFwA;Documentary, News, Society & Culture, True Crime;;;Yes;When John Quinney was ten years old, he took the stand to testify against his own father. He had come to believe that his dad Melvin was the murderous leader of a satanic cult. It would be decades before John would learn that his family was just one of many swept up in a panic that gripped America in the 1980s—one in which hundreds of people were accused of taking part in underground satanic cults that sacrificed infants and sexually abused children. By the time the panic had subsided, scores of people were in prison, convicted on little to no evidence—people like John's father. Conviction: American Panic takes you inside one of the darkest and most bizarre chapters of American history. This series contains descriptions of adult subject matter, including details of sexual abuse and trauma. It may not be suitable for everyone, discretion is advised.
Forensic Psychology;spotify:show:1GVvUXrTLT31q3Jse40kMw;Science;;;Yes;AT Psychology Interview Project
Fictorical;spotify:show:2yvrDZCUICLTcQiFfvCuhX;History;;;Yes;Fictorical is a podcast focused on battles and warfare. We will be covering conflicts all throughout history and fiction. If you like historical battles like Gettysburg, GREAT! If you like fictional fighting like the battle of Hoth, EXCELLENT! Wait, you like both and you like sharing a laugh with some dear, dear friends? Wow, so do we...That's why we made this. Join us each episode for some insight into what caused the battle, the weapons used, a few laughs, who won, and why!
Criminal Behaviorology;spotify:show:5VM7Sjv762u7nb91YWGczZ;Science, Social Sciences;;;Yes;"Criminal Behaviorology is the synthesis of criminology and behavior analysis. This podcast reviews areas of importance to both fields and explores new possibilities. Criminal Behaviorology is a podcast for all those interested in crime, psychology, history, and improving the world we live in.
Contact: criminalbehaviorology@gmail.com

Cover art photo provided by David von Diemar on Unsplash: https://unsplash.com/@emotionspicture Support this podcast: <a href=""https://anchor.fm/criminalbehaviorology/support"" rel=""payment"">https://anchor.fm/criminalbehaviorology/support</a>"
Female Criminals;spotify:show:7GCKl0vXV9T7GDd2YDbwVa;History, Society & Culture, True Crime;;;Yes;The true crime podcast where women aren’t just the victims. Every week, we examine the psychology, motivations, and atrocities of female felons. New episodes come out every Wednesday. Female Criminals is a production of Cutler Media and part of the Parcast Network.
Historia Obscura;spotify:show:2BmKTV4IAQFM4Drm0ar3GW;History;;;Yes;"“Historia Obscura is not only fascinating, it’s high-level sophisticated storytelling.”
-Mitchell Zuckoff, Author of “13 Hours”

There is more to history than what your teachers taught you. In Historia Obscura, you will learn about the lesser known chapters of humanity’s past.

https://www.patreon.com/historiaobscura"
Survival;spotify:show:5JDHqI4nZe36mcOZI05sYI;Health & Fitness, History, Society & Culture;;Documentary, Stories;Yes;When the stakes are life and death, you'd be surprised at the lengths you’d go to survive. Pain, hunger, and fear can seem like paralyzing obstacles, but in the face of real danger, they’re actually what keeps us alive. ​Every week, we'll follow a different survivor's visceral and inspiring fight for life, and examine how the trauma impacted them forever. ​These are the stories of what happens when the human self-preservation instinct is pushed to its limit, through the eyes of the world's most resilient survivors. Survival is a production of Cutler Media and part of the Parcast Network.
Anthropological Theory: A podcast created by anthropology students;spotify:show:6aA7JmxyWRiRqtVXPAMajr;Science, Social Sciences;;;Yes;"The aims of the podcast are to be a resource for future anthropology students and to raise popular awareness of social theory’s relevance to issues of public interest.

-This podcast is for educational purposes only and was produced by students taking ANTH 391 Anthropological Theory at CSUSM-"
Ancient Gods and Demons;spotify:show:1FZtvqXV7YGeqposmRXyHQ;History;;;Yes;"Ancient Gods and Demons is a PodCast that explores the history and legend of a variety of Deities and Entities that have been mentioned throughout recorded history and still remain with us today. Support this podcast: <a href=""https://anchor.fm/brian-sc/support"" rel=""payment"">https://anchor.fm/brian-sc/support</a>"
Burks at Loyola - The Podcast;spotify:show:7f9WfvcDmxIsLdbQzPt3Lv;History;;;Yes;Everything AP World History: Modern!
Science Denial;spotify:show:3lGjQDn7xiZdiTEwTbkjjL;Science;;;Yes;Just trying to get some truth out about Climate Change and other scientific Issues. Dr. David Allard, Professor of Biology, Texas A&M Universtiy-Texarkana.
The Hidden Tigers of Southeast Asia;spotify:show:5WRz5mhb28khsalbGvG2NA;Natural Sciences, Science;;;Yes;"Over the past few decades wild tiger numbers have fallen by a staggering 95%. Today only around 4000 remain. For the survival of our planet's biggest cat, every individual counts. Though Myanmar has long been considered a tiger range country, the IUCN red list states there is no breeding population present - conservation code for game over. But now, the game is back on.
So sit back, put your headphones in and take a journey with us into the depths of Myanmar's great wildernesses as we search for the Hidden Tigers of Southeast Asia.

https://wwfmyanmar.exposure.co/the-hidden-tigers"
Villains ;spotify:show:5g3bKExpQ6rYwxTV4e0Tap;Arts, History, True Crime;;;Yes;Bad guys. Black hats. Evildoers. They are the bane of every hero’s existence…and the subject of Parcast’s dastardly new original series, Villains. Every Friday, Villains will dissect the greatest foils from history and fiction—uncovering origins, analyzing impacts, and exploring the complexity of character and motive. Villains is a Parcast Network original production.
Could We Ever...;spotify:show:4lRu9gOpUpNCC0U8Z9lxwx;Science;;;Yes;"“Could We Ever...” shines a light on UT Dallas experts and asks them to tackle questions you never knew you needed answered — from science to art and more.

Produced by the UT Dallas Office of Communications."
Sports Criminals ;spotify:show:4xx4i1EW7563ORnwbNvtL1;History, Sports, True Crime;;Documentary;Yes;They’re sport’s greatest heroes… displaying superhuman-like abilities to overcome intense pressure. But when it comes to the downfalls of fame, money, and ego—they’re far more human than super. Every Thursday, Parcast’s original series SPORTS CRIMINALS keeps score on the darker side of sports. Each episode chronicles the meteoric rise and fall of some of the sports world’s biggest names.
Biology for Bastards;spotify:show:6hj26idFRLheiJslz2ozfQ;Science;;;Yes;Teaching biology in the most profane way you've ever seen or heard
Biology with Hash;spotify:show:1SHOuXdcSD5JBOfnRzJS4h;Life Sciences, Science;;;Yes;"Do you love biology and want to hear someone fangirling over the new things in this field? Tune in To This podcast.
The biggest procrastinating biology enthusiast hosts this show who wants you to fall in love with biology the same way she is in love with it."
Black History Buff Podcast;spotify:show:6CDExrHONAzUy8ksCgXsYy;History;;;Yes;"The Black History Buff podcast is a fun and thrilling journey through time. Covering the full historical tapestry of the African Diaspora, you’ll hear tales covering everything from African Samurai to pistol-wielding poets. More than just a podcast, the show is a bridge that links communities throughout the African diaspora and enlightens and empowers its friends.

If you'd like to become a friend of the show follow the links on this page

https://pod.fan/black-history-buff-podcast

You can find me at https://www.blackhistorybuff.com/pages/social-2 & www.blackhisto Support this podcast: <a href=""https://anchor.fm/blackhistorybuff/support"" rel=""payment"">https://anchor.fm/blackhistorybuff/support</a>"
Breaking Math Podcast;spotify:show:2All747WhUp3IdgLpPEf2i;Mathematics, Science;;;Yes;"Breaking Math is a podcast that aims to make math accessible to everyone, and make it enjoyable. Every other week, topics such as chaos theory, forbidden formulas, and more will be covered in detail. If you have 45 or so minutes to spare, you're almost guaranteed to learn something new! Support this podcast: <a href=""https://anchor.fm/breakingmathpodcast/support"" rel=""payment"">https://anchor.fm/breakingmathpodcast/support</a>"
Bigger Than Us;spotify:show:67nkmjyMAJwvJT77cZvxjI;Earth Sciences, Science;;;Yes;Nexus PMG welcomes you to the Bigger Than Us™ podcast, which we, as energy geeks lovingly refer to as the BTU. Bigger Than Us is a podcast that focuses on ideas that will shape the future of our planet and ultimately, our existence. We will occasionally lean into energy topics because after all, it’s the key to our collective survival, but we’ll also explore other areas that we believe will have an effect that is Bigger Than Us.
History Does You;spotify:show:6RnL3W0weLvAJyZC1cIu8K;History;;;Yes;History Does You is a podcast that explores the idea that history always is relevant to today. We also cover topics in current events, foreign policy, and international relations. Through interviews with experts in the field of history, we answer the question, “How is History relevant today?”. From early empires, to the Space Race, we look at the good, the bad and the ugly, and try to have a few laughs on the way. Previous guests have included New York Times Bestselling authors, James Bradley, Roger Crowley, Dr. Andrew Bacevich, and Pulitzer Prize winner Dr. John Gaddis
For Whom the Cell Tolls: Biology, Cancer, and Other Stories About Life;spotify:show:6KySzlxOJT2blYQbiMoPa2;Science;;;Yes;"Welcome to For Whom the Cell Tolls! This cast explores the fascinating stories that Biology offers through the eyes of a cancer scientist with teaching experience. Major themes to be explored include cancer, life/death, disease ecology, microbiology, and evolution, among others. This cast will integrate philosophy, culture, and the arts alongside lab and lecture experiences to weave the story of life as we know it. Enjoy!

Instagram: forwhomthecelltolls

forwhomthecelltolls@gmail.com"
CBD Deep Dive;spotify:show:3S4neGTN11G0CbnJzvzK5s;Science;;;Yes;"Join Dr. Jonny Lisano and Dr. Helena Yardley, experts in the science of CBD and cannabis, as they discuss scientific research, physiology and common misconceptions of CBD. The CBD Deep Dive is sponsored by 6° Wellness, a hemp-derived CBD company focused on providing the highest quality CBD products backed by science.

Disclaimer: The information provided in this podcast is purely for educational purposes, this information nor any of the products provided by 6° Wellness are not intended to diagnose, treat or cure any diseases. Always consult with a physician prior to taking any new supplements"
Conspiracy Theories;spotify:show:5RdShpOtxKO3ZWohR2M6Sv;History, Society & Culture, True Crime;;;Yes;The truth is rarely the best story. And when it’s not the only story, the truth deserves another look. Every Wednesday, we tell the complicated stories behind the world’s most controversial events and possible cover-ups. Conspiracy? Maybe. Coincidence? Maybe. Complicated? Absolutely. Conspiracy Theories is part of the Parcast Network and is a Cutler Media Production.
Dark Geometry;spotify:show:5o6Yy2z9HQYSJp6cE3rOZn;Science;;;Yes;"Join our expedition to the invisible intersections between science, technology and culture. Welcome aboard ""Dark Geometry"" a computational explorers podcast!"
Launch Escape: Space Podcast;spotify:show:3tnWkgjrHcOoIirYDQsphL;Astronomy, Science;;;Yes;Tune in to listen to Praveen Nagaraj talk about space, rocket science, and the importance of making humans a multi-planetary species. Inspired by Elon Musk, this podcast aims to raise public interest in the developments of space travel, including the history of rocket science. Follow news from private companies such as SpaceX and Blue Origin, along with NASA, ISRO, etc. This podcast isn't only for space enthusiasts, but for any novice interested in astronomy and space travel! Powered by News Landed LLC and Appleosophy Media.
Medical Mysteries ;spotify:show:52qDuV6WDfgnaLdbDmKpUi;History, True Crime;;Documentary;Yes;"We trust doctors with our lives; they are some of the most educated and well-respected members of society. But what happens if they can't diagnose a patient? This high stake medical procedural follows patients as they suffer from bizarre, often terrifying illnesses. None of which doctors learned about in medical school. Medical Mysteries is a Parcast Original, with new episodes every Tuesday."
Mardi Gras Beyond The Beads;spotify:show:7FDOXSTV9HTQtURhFe0qxo;History;;;Yes;New Orleans Magazine editor in chief Errol Laborde and cohost Rich Collins dive into the history, tradition and modern celebration of New Orleans Carnival.
Anarchopac;spotify:show:6G00ZFXRjlQBZOBSTRdeav;History;;;Yes;"The podcast of a youtube channel dedicated to explaining the theory and history of anarchism, feminism and marxism.

youtube.com/anarchopac
anarchopac.wordpress.com
patreon.com/anarchopac"
Revving Up History;spotify:show:2JqBhaixuo5VwB1i6rBAEP;History;;;Yes;United States History
The Blood Evidence;spotify:show:4ymYkiDhznGzvJjYGrcchO;Science;;;Yes;"SCIENCE-CENTRIC TRUE CRIME STORIES

True crime's hot streak continues with a new podcast covering heinous stories involving murder, unexplained disappearances, and corruption within the scientific community.
Join Stacey, a molecular scientist, every week to explore a new case with fact-based, entertaining storytelling.
*This podcast contains adult themes and content that may not be appropriate for all audiences. Listener discretion is advised.*"
Coffee Tea and AI;spotify:show:1vPaKxbc7SQGB5Eq57riQ8;Science;news;;Yes;This podcast aims to bring conversations around AI Ethics as well as AI related news from Europe and China to keep our listeners updated and informed.
Con Artists ;spotify:show:6s8xzsIn1JIvEv0X9sa7sb;History, Society & Culture, True Crime;;;Yes;You trust them with your life. They seem like a friend. Family, even. Anyone can fall victim to a con, and many have. What type of person intentionally tries to deceive, manipulate and eventually destroy someone with their web of lies? This Parcast Original peeks behind the masks of the most notorious Con Artists, and explores how far someone will go in order to gain money, power, and respect. New episodes are released every Wednesday.
Criminal Prints;spotify:show:3ItnqUK5THAZKDrIPJg0PZ;History, Society & Culture, True Crime;;;Yes;Criminal Prints is a true crime podcast with an emphasis on evidence, or as we call it, the criminal prints.
Extraterrestrial;spotify:show:4Y1qqhrzpgNcIkVRajAOdr;History, Science, True Crime;;;Yes;Why do we think we aren’t alone? Extraterrestrial explores tales of alien encounters. Millions of people claim to have seen alien life, but no one can confirm any of it. Is there a more grounded explanation for these incidents, or is there really something lurking out there? Every Tuesday, we’ll examine reports of a different alien occurrence, and land on the most plausible explanation. Extraterrestrial is a production of Cutler Media and part of the Parcast Network.
Improbable Research;spotify:show:15GNjJfxY1oqUHMUJtzUvy;Science;;;Yes;"Research that makes people LAUGH, then THINK — research about anything and everything, from everywhere —research that's good or bad, important or trivial, valuable or worthless. Presented by Marc Abrahams, founder of the Ig Nobel Prize ceremony. Support this podcast: <a href=""https://anchor.fm/improbableresearch/support"" rel=""payment"">https://anchor.fm/improbableresearch/support</a>"
Unexplained Mysteries;spotify:show:1Xe0dRpQCrwi59H2CJWtYf;History, Society & Culture, True Crime;;;Yes;“We don’t know.” answers too many questions. But in this podcast, we don’t take “we don’t know” for an answer. Every Thursday, Unexplained Mysteries investigates the greatest mysteries of history and life on earth, because the answer “we don’t know” is always the scariest. Unexplained Mysteries is part of the Parcast Network and is a Cutler Media production.
Secret Societies ;spotify:show:7MIIBWDGXvzZthqznedAKR;History, Society & Culture, True Crime;;Documentary;Yes;They’ve been around for thousands of years…orchestrating some of history’s most controversial events. And if not for their radical actions, you may never have even known they existed. Every Thursday, take a journey through hidden passageways and become a member of Parcast’s diabolical series, SECRET SOCIETIES. Each society is explored in 2 episodes—exposing the people and context responsible for its founding, and analyzing the psychology behind their beliefs.
Dictators ;spotify:show:5JwUl9pJUndHkbiiJTKRqg;History, Society & Culture, True Crime;;;Yes;They are natural-born-leaders with a never-ending thirst for power. Through force and deceit, they rise through the ranks towards radicalism—eliminating anyone who stands in their way. Every Tuesday, delve into the minds, and motives, behind some of the world’s most infamous leaders in Parcast’s original series, DICTATORS. Each dictator is analyzed in 2-part episodes...with the first giving insight into their rise to power, and the second chronicling the impact of their downfall.
Crimes of Passion;spotify:show:5PFgy6lc8UvYIjDsaaO3dN;History, Society & Culture, True Crime;;;Yes;Every Wednesday, we tell a love story that turns into a crime story. Our subjects might start as lovers, friends, or family, but by the end, there's a criminal and a victim. Along the way, we analyze the relationship dynamics and psychology that lead to betrayal, theft, and even murder. Crimes of Passion is part of the Parcast Network, and a production of Cutler Media.
Dose Makes The Poison: The Toxcast;spotify:show:1Zmkaj0XoQ1L4p4AhN6vq2;Chemistry, Science;;;Yes;A podcast about forensic toxicology and chemistry. We talk about drugs, poisons, and forensics in the news.
American Girls;spotify:show:0q14aUbVF3rTacMkXccqPT;History;;;Yes;The series you loved, book by book. Join Allison Horrocks and Mary Mahoney as they explore the wild world of American Girl fandom. In each episode, Allison and Mary will dive into an American Girl book from their (and perhaps your) childhood. Using their knowledge as professional historians and finely tuned instincts as amateur pop culture critics, they’ll take you back to a very different time—the 1990s.
Weird Historian;spotify:show:5EfzInmCgwmypFOAdOHbtu;History;;;Yes;Human anomalies, Spiritualists, quack scientists, and other odd characters and stories from the weirdest pages of history. All brought to you by author Marc Hartzman.
The Fantastic History Of Food;spotify:show:2CfNtOfcwbuHKaqDcx2sBc;History;;;Yes;"Stories of the fun, bizarre and often ridiculous history of food.

Packed with interesting tales like ‘The Man Who Ate King Louis XIV’s Heart’ and ‘The German Coconut Cult’.

Join me as we explore The Fantastic History of Food.

Show your support by signing up on Patreon: http://bit.ly/3382PF5

- Get Early Access To Episodes
- Bonus Content Incl. Interviews &amp; Unaired Episodes
- Free Merch Items
- + So Much More!

Contact me on foodhistorypod@gmail.com
Website: www.foodhistorypodcast.com""
Name,URI,Genre,Tags,Category,Relevance,Description
#5 Things,spotify:show:6oXVXJViYbHbJz5rJz7Mel,""Business News, News"
NinjAnatomy;spotify:show:3LXIzhzK5nTu6Pz1Cul7hu;Life Sciences, Science;;;Yes;Fun-sized anatomy lessons on the go! Your host, Anjanette Nunez, is a Doctor of Physical Therapy, a Board Certified Orthopaedic Clinical Specialist with a Therapeutic Pain Specialist certification. On each episode, she’ll take you through a short clinical case study and break down neuromusculoskeletal gross anatomy into fun-sized digestible segments. Whether you’re a healthcare professional, a student, or someone with a shared love of neuromusculoskeletal anatomy, you’ll enjoy each episode.
Indirect Message;spotify:show:1kqShC3n6G3ab4WfkhFhol;Science, Social Sciences;;;Yes;Laci Green explores noteworthy perspectives on society, human behavior, and the internet.
Hostage;spotify:show:07Do1GFU3Y4htyVQbp0uuC;History, Society & Culture, True Crime;;Documentary;Yes;Some terrorists use weapons. Some use information. The scariest use hostages. Every Thursday, Hostage tells electrifying crime stories culminating in intense, life-or-death negotiations. Within the stories, we examine tactics used by the FBI’s crisis negotiation unit, world governments, and even hostage’s parents, highlighting the techniques that saved lives, and the moments where everything went tragically wrong. Hostage is a production of Cutler Media, and part of the Parcast Network. New episodes every Thursday, listen exclusively on Spotify.
